game_name|game_ext|game_size
Bubsy in - Claws Encounters of the Furred Kind (Europe)|.zip|1163281
Bubsy in - Claws Encounters of the Furred Kind (Germany) (En)|.zip|1163645
Bubsy in - Claws Encounters of the Furred Kind (USA)|.zip|1163613
Bubsy in - Claws Encounters of the Furred Kind (World) (Steam)|.zip|1163644
Bubsy in Claws Encounters of the Furred Kind (USA) (Beta 1)|.zip|1163321
Bubsy in Claws Encounters of the Furred Kind (USA) (Beta 2)|.zip|1163630
Buck Rogers - The Arcade Game (USA) (Beta)|.zip|682253
Bucket (World) (Aftermarket) (Unl)|.zip|4725
Bug's Life, A (USA) (Pirate)|.zip|548235
Bugs Bunny - Hachamecha Daibouken (Japan)|.zip|903589
Bugs Bunny - Rabbit Rampage (Europe)|.zip|894282
Bugs Bunny - Rabbit Rampage (USA)|.zip|894247
Bulls vs Blazers and the NBA Playoffs (Europe) (Rev 1)|.zip|504201
Bulls vs Blazers and the NBA Playoffs (Europe)|.zip|503428
Bulls vs Blazers and the NBA Playoffs (USA) (Rev 1)|.zip|504194
Bulls vs Blazers and the NBA Playoffs (USA)|.zip|503422
Burai - Hachigyoku no Yuushi Densetsu (Japan)|.zip|881795
Burn-in - Test Cartridge (USA) (Rev D)|.zip|190386
Bushi Seiryuuden - Futari no Yuusha (Japan)|.zip|1545258
Bust-A-Move (USA)|.zip|273674
CB Chara Wars - Ushinawareta Gag (Japan)|.zip|791465
CX4 (World) (Enhancement Chip)|.zip|3056
Cacoma Knight (Japan)|.zip|402975
Cacoma Knight in Bizyland (USA)|.zip|398554
Cal Ripken Jr. Baseball (Europe)|.zip|640745
Cal Ripken Jr. Baseball (USA) (Beta)|.zip|679670
Cal Ripken Jr. Baseball (USA)|.zip|640741
California Games II (Europe) (En,Fr,De)|.zip|450729
California Games II (Japan) (En,Ja)|.zip|462493
California Games II (USA)|.zip|472079
Cameltry (Japan)|.zip|418118
Cannon Fodder (Europe)|.zip|713672
Cannondale Cup (USA)|.zip|799421
Capcom's MVP Football (USA)|.zip|630533
Capcom's Soccer Shootout (USA) (Beta)|.zip|771571
Capcom's Soccer Shootout (USA)|.zip|749454
Captain America and the Avengers (Europe)|.zip|790867
Captain America and the Avengers (USA)|.zip|791117
Captain Commando (Europe)|.zip|1312171
Captain Commando (Japan)|.zip|1314857
Captain Commando (USA)|.zip|1315124
Captain Novolin (USA) (En,Fr,Es) (Beta)|.zip|350266
Captain Novolin (USA) (En,Fr,Es)|.zip|348248
Captain Tsubasa III - Koutei no Chousen (Japan)|.zip|530196
Captain Tsubasa IV - Pro no Rival-tachi (Japan)|.zip|789414
Captain Tsubasa J - The Way to World Youth (Japan)|.zip|1031643
Captain Tsubasa V - Hasha no Shougou Campione (Japan)|.zip|1096674
Caravan Shooting Collection (Japan) (En)|.zip|264685
Card Master - Rimusaria no Fuuin (Japan)|.zip|727876
Carrier Aces (Europe)|.zip|1052183
Carrier Aces (Japan) (En)|.zip|1055257
Carrier Aces (USA)|.zip|1052168
Casper (Europe)|.zip|398069
Casper (Japan)|.zip|537912
Casper (USA)|.zip|395434
Cassette Kensaki - NUS-you S Cassette (Japan) (En)|.zip|735251
