game_id|game_name|game_info|game_size
esprade.zip|ESP Ra.De.|13.7M - Shoot 'em up/2p - (c)1998 Atlus|14414769
eswat.zip|ESWAT: Cyber Police|1.1M - Platform/2p - (c)1989 Sega|1103110
explbrkr.zip|Explosive Breaker (also known as Bokuretsu Breaker)|2.1M - Shoot 'em up/2p - (c)1992 Kaneko|2201102
exprraid.zip|Express Raider (also known as Western Raider)|161.1K - Platform/2p - (c)1985 Data East|165004
exterm.zip|Exterminator|919.7K - Shooter/2p - (c)1989 Gottlieb|941767
extrmatn.zip|Extermination|361.8K - Shoot 'em up/2p - (c)1987 World Games|370514
f1dreamb.zip|F-1 Dream|331.6K - Racing/2p - (c)1988 Capcom|339604
f1gp.zip|F-1 Grand Prix|3.8M - Racing/2p - (c)1991 Video System|3996510
f1gp2.zip|F-1 Grand Prix Part II|4.0M - Racing/2p - (c)1992 Video System|4216909
fantzn2x.zip|Fantasy Zone II: The Tears of Opa-Opa|797.6K - Shoot 'em up/1p - (c)1988 Sega|816793
fantzone.zip|Fantasy Zone|259.3K - Shoot 'em up/1p - (c)1986 Sega|265549
fastlane.zip|Fast Lane|619.0K - Action/1p - (c)1987 Konami|633828
feversos.zip|Fever SOS (also known as Dangun Feveron)|6.7M - Shoot 'em up/2p - (c)1998 Nihon System|7034756
ffight.zip|Final Fight|1.4M - Beat 'em up/2p - (c)1989 Capcom|1429616
fghthist.zip|Fighter's History|5.4M - Fighting/2p - (c)1993 Data East|5649991
fhawk.zip|Fighting Hawk|469.9K - Shoot 'em up/2p - (c)1988 Taito|481217
finalizr.zip|Finalizer: Super Transformation|79.2K - Shoot 'em up/2p - (c)1985 Konami|81140
fireshrk.zip|Fire Shark (also known as Same! Same! Same!)|529.1K - Shoot 'em up/2p - (c)1990 Toaplan|541849
flicky.zip|Flicky|56.3K - Platform/2p - (c)1984 Sega|57663
flstory.zip|The Fairyland Story|87.0K - Platform/2p - (c)1985 Taito|89082
flytiger.zip|Flying Tiger|721.2K - Shoot 'em up/2p - (c)1992 Dooyong|738480
foodf.zip|Food Fight (also known as Charlie Chuck's Food Fight)|46.8K - Action/2p - (c)1983 Atari|47872
forgottn.zip|Forgotten Worlds|1.9M - Shoot 'em up/2p - (c)1988 Capcom|1952681
frenzy.zip|Frenzy|16.5K - Shooter/2p - (c)1982 Stern|16896
frogger.zip|Frogger|15.6K - Action/2p - (c)1981 Sega|16011
frontlin.zip|Front Line|39.4K - Run and gun/2p - (c)1982 Taito|40340
fround.zip|The Final Round (also known as Hard Puncher)|876.5K - Sports/2p - (c)1988 Konami|897501
fstarfrc.zip|Final Star Force|956.0K - Shoot 'em up/4p - (c)1992 Tecmo|978965
gaia.zip|Gaia Crusaders|18.3M - Beat 'em up/2p - (c)1999 Noise Factory|19234588
gaialast.zip|Gaia: The Last Choice of Earth|3.8M - Shoot 'em up/2p - (c)1999 Semicom|3982955
gaiapols.zip|Gaiapolis|7.4M - Role-playing/2p - (c)1993 Konami|7737827
gaiden.zip|Ninja Gaiden (also known as Shadow Warriors)|1.0M - Platform/2p - (c)1988 Tecmo|1080565
galaga.zip|Galaga|22.6K - Shoot 'em up/2p - (c)1981 Midway|23176
galaga3.zip|Galaga 3 (also known as Gaplus)|55.6K - Shoot 'em up/2p - (c)1984 Bally/Midway|56968
galaga88.zip|Galaga '88|614.5K - Shoot 'em up/2p - (c)1988 Namco|629232
